Name,Identifier,Market,Cluster,Primary Triggers,Entry Setup,Stop Rule,TP/Management,Time Window (CEST),Notes
Delivery Hero,DE000A2E4K43,DE,E-Com High Beta,"Refi/Guidance/Reg","Opening-Range-Break (5–15m) ODER News-Retest","0.8–1.0× Box","TP1=1R; Rest VWAP-Trail; Add-on bei VWAP-Reclaim","09:00–10:00","Spread ≤0.20%; nicht Candle 1 jagen"
HelloFresh,DE000A161408,DE,E-Com KPI,"KPI/Guidance/Outlook","Retest am Ausbruchslevel (Reclaim)","Stop knapp hinter Level (~0.9× Box)","TP1=1R; dann Stufen-Trail über HH/HL","09:10–10:00","Erste 3–5 Min häufig Fake-Break"
AIXTRON,DE000A0WMPJ6,DE,Semi-Equipment,"SOX/NDX-Bias; Orders/Reg","ORB pro Trend + Vol≥150%","~1.0× Box","TP1=1R; VWAP/20EMA-Trail","09:00–10:00; 15:30–16:30","NDX-Sync am US-Open handeln"
AUTO1,DE000A2LQ884,DE,Marketplace,"Finanzierung/Profitabilität","ORB + Vol-Spike","~1.0× Box","TP1 früh; Rest eng trailen","09:00–10:00","Slippage einkalkulieren"
Hensoldt,DE000HAG0005,DE,Defense,"Politik/Orders/ESG","News-Retest (kein Candle-1-Chase)","knapp hinter Trigger-Level","Teilgewinn früh; straffer Trail","09:00–10:30","Stückelung klein"
Nordex,DE000A0D6554,DE,Renewables,"Policy/Capex/Wind-Flow","ORB; bei dünnem Buch Pullback-Entry","~1.0× Box","TP1=1R; ATR-Band-Trail","09:00–10:00","Liquidität prüfen"
K+S,DE000KSAG888,DE,Commodities,"Preis/Capex/Guidance","Range-Break + Vol","~1.0× Box","TP1=1R; Pivot-Add-ons","09:00–10:00","News-getrieben"
KION,DE000KGX8881,DE,Industrials,"Guidance/Orders","ORB","0.9–1.1× Box","VWAP-Trail","09:00–10:00","Trendtage bevorzugen"
Lufthansa,DE0008232125,DE,Airlines,"Traffic/Fuel/Strikes","ORB → Trend-Follow","~1.0× Box","TP1=1R; optional Close-Fade","09:00–10:00","Fuel/News beachten"
TUI,DE000TUAG505,DE,Travel,"Kapitalmaßnahmen/Bookings","News-Retest","knapp hinter Trigger","Staffeln; enger Trail","09:00–10:00","Volatil; klein stückeln"
Redcare Pharmacy,NL0012044747,DE-Listing,E-Rx,"Reg/Erstattung","News-Retest","knapp dahinter","Trail eng; TP1=1R","09:00–10:00","Headline-sensitiv"
Sartorius Vz,DE0007165631,DE,MedTech,"Read-outs/Guidance","Pullback-Entry (kein Chase)","~0.9× Box","TP1 schnell; Rest trailen","09:00–10:00","Hohe Spikes möglich"
Wacker Chemie,DE000WCH8881,DE,Chemicals,"Preis/Capex/China","ORB","~1.0× Box","VWAP-Trail","09:00–10:00","Poly/Si-News beachten"
ThyssenKrupp,DE0007500001,DE,Steel/Deals,"M&A/Spin/Politik","News-Retest","knapp hinter Level","TP1 früh; straffer Trail","09:00–10:00","Squeeze-anfällig"
RENK Group,DE000RENK730,DE,Defense,"Orders/Backlog","ORB","~1.1× Box","TP1=1R; straffer Trail","09:00–10:00","Orderbuch prüfen"
Infineon,DE0006231004,DE,DAX-Tech,"SOX/NDX-Sync; eigene News","ORB + Futures-Bias","0.8–1.0× Box","VWAP-Trail; Add-on bei Reclaim","09:00–10:00; 15:30–16:30","Sehr liquide"
Siltronic,DE000WAF3001,DE,Wafer,"Capex/Si-Preis","ORB oder Pullback","~1.0× Box","TP1=1R; ATR-Trail","09:00–10:00","Buch kann dünn werden"
SMA Solar,DE000A0DJ6J9,DE,Solar,"Policy/DOE/US-Move","US-Open Re-Sync ODER News-Retest","~1.0× Box","Trail unter VWAP","09:00–10:00; 15:30","Volatil"
SÜSS MicroTec,DE000A1K0235,DE,Semi-Equip,"Aufträge/Guidance","ORB","~0.9× Box","VWAP-Trail","09:00–10:00","Trendtage spielen"
Nagarro,DE000A3H2200,DE,IT-Services,"Guidance/US-Beta","VWAP-Reclaim 15:30","~1.0× Box","TP1=1R; Trail","15:30–16:30","US-Sync wichtig"
IONOS,DE000A3E00M1,DE,Hosting,"KPI/Deals","ORB","~1.0× Box","Trail","09:00–10:00","Volumenfilter nutzen"
TeamViewer,DE000A2YN900,DE,SaaS,"Valuation/Deals/KPI","VWAP-Reclaim","~0.9× Box","TP1=1R; Trail","09:00–10:00; 15:30","NDX-Korrelation"
Airbus,NL0000235190,NL/FR,Aero/Defense,"Orders/Defense","ORB; News-Retest","~1.0× Box","VWAP-Trail","09:00–10:00","Sehr sauberer Open-Drive"
ArcelorMittal,LU1598757687,LU,Steel,"China/Metals/Futures","ORB","~1.0× Box","TP1=1R; ATR-Trail","09:00–10:00","Commodities-Beta"
Banca BPM,IT0005218380,IT,Bank,"ECB/Rates/Kredit","ORB + Vol-Spike","~0.9× Box","VWAP-Trail","09:00–10:00","Banken-Cluster beachten"
Intesa,IT0000072618,IT,Bank,"Makro/Rates","ORB","~0.9× Box","TP1=1R; Trail","09:00–10:00","Sehr handelbar"
UniCredit,IT0005239360,IT,Bank,"Makro/Risiko/ECB","ORB/Retest","~1.0× Box","VWAP-Trail","09:00–10:00","Große Ranges"
